ounce	200	n	leopard
pack	100	n,v	container
pack	200	v	cram
pad	100	n,v	material
pad	200	v,n	walk
paddle	100	n,v	pole
paddle	200	v,n	wade
paddy	100	n	rice
paddy	200	n	tantrum
paddy	300	n	Irishman
page	100	n,v	sheet
page	200	n,v	boy
pale	100	a,v	blanched
pale	200	n	stake
pall	100	n	cloud
pall	200	v	bore
palladium	100	n	element
palladium	200	n	protection
pallet	100	n	mattress
pallet	200	n	implement
pallet	300	n	strip
palm	100	n	tree
palm	200	n,v	hand
panic	100	n,v	fear
panic	200	n	grass
pap	100	n,a	food
pap	200	n	breast
pap	300	n,v	paparazzi
party	100	n,v	gathering
party	200	a	divided
pass	100	v,n	change
pass	200	n	route
pasty	100	n	pastry
pasty	200	a	pale
patter	100	v,n	run
patter	200	n,v	speech
pawn	100	n	tool
pawn	200	v,n	deposit
pay	100	v,n	compensate
pay	200	v	seal
peach	100	n	fruit
peach	200	v	inform
peak	100	n,v,a	point
peak	400	v	decline
peck	100	v,n	strike
peck	200	n	measure
peck	300	v	stumble
peel	100	v,n	remove
peel	200	n	shovel
peel	300	n	tower
peel	400	v	send
peep	100	v,n	glance
peep	200	n,v	sound
peer	100	v	scan
peer	200	n,v	associate
pelt	100	v,n	hurl
pelt	200	n	skin
pen	100	n,v	writing instrument
pen	200	n,v	enclosure
pen	500	n	swan
pen	600	n	prison
perch	100	n,v	branch
perch	200	n	fish
perch	300	n	measure
periwinkle	100	n	flower
periwinkle	200	n	invertebrae
pet	100	n,v	treasure
pet	200	n	tantrum
phoenix	000	n	bird
phoenix	200	n	constellation
phone	100	n,v	telephone
phone	200	n	sound
pick	100	v,n	choose
pick	200	n	tool
pie	100	n	pastry
pie	200	n	magpie
pie	300	n	currency
pigeon	100	n	bird
pigeon	200	n	simplified language
pike	100	n	fish
pike	200	n,v	weapon
pike	300	n	road
pike	400	n	position
pike	500	v	withdraw
pile	100	n,v	heap
pile	200	n,v	stake
pile	500	n	fibres
pine	100	n	tree
pine	200	v	suffer
pinion	100	n,v	wing
pinion	200	n	cogwheel
pink	100	a,n,v	color
pink	400	n	plant
pink	500	v	scratch
pink	600	n	ship
pink	700	v	rumble
pink	800	n	pigment
pip	100	n	seed
pip	200	n	dots
pip	300	n	sound
pip	400	n	disease
pip	500	v	crack
pip	600	v	defeat
pitch	100	n,v	degree
